id,question,human_label,human_label_text,hallucination_type,error_category,baseline_prediction,ragas_prediction,selfcheck_prediction,similarity_prediction,hybrid_prediction,custom_prediction,detectors_incorrect,detectors_correct,all_detectors_correct,any_false_negative,any_false_positive
00b9bf2c-aa16-4012-b3d8-b6417c29c4dc,Where can one find more detailed information about managing throughput capacity with DynamoDB auto scaling?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
01acfb86-a1d8-4d0e-aadb-51f84cb0151f,What kind of activities are recommended for automation?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
01dded55-2bd8-45ed-aa1b-c4e2a077c57d,How is scaling an instance typically performed?,1,Hallucinated,,Requires manual annotation,0,1,1,1,1,1,baseline,"ragas,selfcheck,similarity,hybrid,custom",False,True,False
03f3d49b-7882-4d58-9bb2-af2f04ddb3fa,What is the full name of the author associated with RFC2068?,1,Hallucinated,,Requires manual annotation,0,1,1,0,1,1,"baseline,similarity","ragas,selfcheck,hybrid,custom",False,True,False
043e3eca-6aba-4d68-85da-3978678f8d6d,What does the discussion section suggest about privileged status?,1,Hallucinated,,Requires manual annotation,0,0,1,0,0,1,"baseline,ragas,similarity,hybrid","selfcheck,custom",False,True,False
0507d2a0-6abc-4f40-8030-47bc30911202,What factor should be considered when selecting a backup strategy according to the text?,1,Hallucinated,,Requires manual annotation,0,1,1,0,1,1,"baseline,similarity","ragas,selfcheck,hybrid,custom",False,True,False
053c0249-3125-4ea3-a8c1-49f0f045a31c,What is the requirement for message transformations as stated in RFC 9110?,1,Hallucinated,,Requires manual annotation,0,1,1,1,1,1,baseline,"ragas,selfcheck,similarity,hybrid,custom",False,True,False
08a93682-8bd6-410f-8fa2-776d90cc6bed,What is the purpose of CA-2 in NIST SP 800-53?,1,Hallucinated,,Requires manual annotation,1,1,1,1,1,1,,"baseline,ragas,selfcheck,similarity,hybrid,custom",True,False,False
0922f19d-7280-4b7b-9254-633493b30f4a,What types of media are mentioned as examples under requirement 03.08.06?,1,Hallucinated,,Requires manual annotation,1,1,1,0,1,1,similarity,"baseline,ragas,selfcheck,hybrid,custom",False,True,False
09817605-0ffd-462c-9318-f28fdce2186c,Where can NIST SP 800-53 REV. 5 be accessed for free?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
09a54073-bdfe-45fb-8c63-735b0de889b7,What is the purpose of regularly reviewing your workload and implementing new services and features according to the text?,0,Non-Hallucinated,,Requires manual annotation,0,1,1,0,1,1,"ragas,selfcheck,hybrid,custom","baseline,similarity",False,False,True
0aff0e08-ad65-40f7-af38-81b58724f57f,What version number is mentioned in the text?,1,Hallucinated,,Requires manual annotation,0,1,1,1,1,1,baseline,"ragas,selfcheck,similarity,hybrid,custom",False,True,False
0c3a4a2c-3af9-4b3f-b648-2a5f7cebc7b9,What does 'production workloads' refer to in this context?,1,Hallucinated,,Requires manual annotation,0,0,1,0,0,1,"baseline,ragas,similarity,hybrid","selfcheck,custom",False,True,False
0c7d2191-28c0-4fbd-bc32-91575d5ede70,What does the term 'SHOULD' indicate in the context of this text?,1,Hallucinated,,Requires manual annotation,0,1,1,0,1,1,"baseline,similarity","ragas,selfcheck,hybrid,custom",False,True,False
0cf4d8fc-ce1e-4fd1-8d6d-6d5c7814f9a6,What should be confirmed about new organization members' resource creations?,1,Hallucinated,,Requires manual annotation,0,1,1,1,1,1,baseline,"ragas,selfcheck,similarity,hybrid,custom",False,True,False
0e968613-9dd1-412a-8b5d-2deb91a393a2,What must business unit owners understand to provide direction effectively?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
0fa856df-a616-433f-a2a6-30836acfff98,What types of information are considered when performing browser fingerprinting?,1,Hallucinated,,Requires manual annotation,0,0,1,0,0,1,"baseline,ragas,similarity,hybrid","selfcheck,custom",False,True,False
0fb472f9-1f8b-46d9-94b5-cb9aa24cb4ed,What administrative procedures are required according to SP 800-171r3 for managing authenticators?,1,Hallucinated,,Requires manual annotation,1,0,1,0,0,1,"ragas,similarity,hybrid","baseline,selfcheck,custom",False,True,False
0fe7cfe6-cea7-42be-8296-a31bddf40e86,Which HTTP headers are included in the provided text?,1,Hallucinated,,Requires manual annotation,0,1,1,1,1,1,baseline,"ragas,selfcheck,similarity,hybrid,custom",False,True,False
11c427e7-f0d5-4135-a30b-8c2b1f0949b7,What is the desired outcome of the static stability design verification?,1,Hallucinated,,Requires manual annotation,0,0,1,1,0,1,"baseline,ragas,hybrid","selfcheck,similarity,custom",False,True,False
126d2848-7643-4f5f-83fb-41ec67fe3b9a,What is the exact change made in Control IA-1a.1.? ,1,Hallucinated,,Requires manual annotation,0,1,1,1,1,1,baseline,"ragas,selfcheck,similarity,hybrid,custom",False,True,False
12d7973e-04dc-4d9c-8f47-04ba80289fc5,What benefit does using version control capabilities provide in the context of managing report files?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
1327eadd-2c03-4cd4-a966-df3d47be5d22,What are common policies in workloads management?,1,Hallucinated,,Requires manual annotation,1,0,1,0,0,1,"ragas,similarity,hybrid","baseline,selfcheck,custom",False,True,False
1554e6f5-8a92-4d2f-b575-0ac3c3240bb7,What informs risk monitoring according to the text?,0,Non-Hallucinated,,Requires manual annotation,0,1,0,0,0,1,"ragas,custom","baseline,selfcheck,similarity,hybrid",False,False,True
158c06ba-431e-44d5-bb7a-095b24a4dcd0,What does the control require organizations to do regarding mobile code?,1,Hallucinated,,Requires manual annotation,0,1,1,0,1,1,"baseline,similarity","ragas,selfcheck,hybrid,custom",False,True,False
15d5b326-2f1b-4987-9c57-f186709a5552,Where can one find NIST SP 800-53 REV. 5?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
17a0bd6c-5999-4b32-a67d-197ef0b78739,How often should the prioritization process be reviewed?,0,Non-Hallucinated,,Requires manual annotation,0,1,0,1,1,0,"ragas,similarity,hybrid","baseline,selfcheck,custom",False,False,True
17f5e9c4-4c39-4ad4-ac2d-08684e22d52c,What must an HTTP-to-HTTP gateway conform to for interoperability with third-party servers?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
18960d0c-a72d-45ad-93ae-ebabbfbb0d31,How can organizations address the concern of adversaries breaching or compromising their systems according to the discussion?,1,Hallucinated,,Requires manual annotation,1,1,1,0,1,1,similarity,"baseline,ragas,selfcheck,hybrid,custom",False,True,False
18b733c5-2272-4aba-96e6-c6880c10bea2,How does Application Load Balancer improve response time for applications?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
18cc4a93-45f2-4f08-8b22-90322ed9e47f,What should be done after defining performance metrics according to the text?,0,Non-Hallucinated,,Requires manual annotation,1,1,1,1,1,1,"baseline,ragas,selfcheck,similarity,hybrid,custom",,False,False,True
19457824-409c-4f44-88c1-c42e53aadae5,What is the CUI for CM-12?,0,Non-Hallucinated,,Requires manual annotation,0,1,1,1,1,1,"ragas,selfcheck,similarity,hybrid,custom",baseline,False,False,True
19d37df0-1132-4f48-a913-a877fc55d46b,Which references are mentioned for EMSEC policies?,0,Non-Hallucinated,,Requires manual annotation,0,1,1,0,1,0,"ragas,selfcheck,hybrid","baseline,similarity,custom",False,False,True
1a6890a9-ea27-4fa8-9069-74f56d5a1729,What are the steps included in the information life cycle mentioned in the text?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
1ac915e3-3c15-4955-906a-9478e28c42ce,What does evidence #6.8.2 suggest about the presence and integrity of digital signatures on authentication?,1,Hallucinated,,Requires manual annotation,0,1,1,0,1,0,"baseline,similarity,custom","ragas,selfcheck,hybrid",False,True,False
1b3a0e8e-2670-4d6b-8cb1-c3b8a02fc86a,What additional step must an origin server take if resources have distinct representations that differ only in their metadata?,1,Hallucinated,,Requires manual annotation,1,0,1,0,0,0,"ragas,similarity,hybrid,custom","baseline,selfcheck",False,True,False
1bf1b5ee-cb2a-4ccf-927e-1c5203b64c0a,What events are mentioned in the text related to Amazon EC2?,1,Hallucinated,,Requires manual annotation,0,0,1,1,0,1,"baseline,ragas,hybrid","selfcheck,similarity,custom",False,True,False
1cff8995-07de-4ed2-b2c7-cd920788fd81,What happens if you don't have a support transition plan after the migration project?,0,Non-Hallucinated,,Requires manual annotation,0,0,1,0,0,0,selfcheck,"baseline,ragas,similarity,hybrid,custom",False,False,True
1d3310d9-bb62-4058-bb58-4bd2dca41c7f,What process is used to prevent server impersonation by on-path attackers or name resolution attackers?,1,Hallucinated,,Requires manual annotation,0,1,1,0,1,1,"baseline,similarity","ragas,selfcheck,hybrid,custom",False,True,False
